2018-04-20 04:09:48.518
Number of generations: 1
Size of population: 100
Heuristic 1
11
-51709.76854008636,-84803.82466455142,-61309.223535429635,19663.668672804248,-7726.5120475367585,-35264.39826382678,-48373.591500118506,-36805.86131731424,-31651.302673115933,-42331.94025624203,-26322.846296631556,211.2,
-49559.09394944792,-15431.675956050734,-9700.4136253045,48067.8864607109,-40587.028334377115,-12418.786353015152,-27726.135980645253,-85304.44855255085,-62956.30084169286,-28925.93870152271,-74102.12425778389,175.9,
-22185.967712808808,-15482.946755190496,-38493.7649582175,1558.232703846296,-3510.4287906271784,-81466.62724795997,-81851.67637735841,-64118.306573093134,-10980.064654523594,-71585.77436076188,-63900.7577831495,175.5,
-99107.58100898906,-43966.9974714195,-71134.87151733809,74111.35849328166,-9389.915205158642,-35827.25824056985,-26701.186596965403,-74606.23951574546,-13956.420169782927,-30291.237655215766,-22992.609887516985,173.3,
-20003.353433623954,-8322.363388924274,-10241.78683837624,31544.611634900688,-36440.4839079549,-135.69278313672112,-36498.18097584561,-35494.10433734264,-70284.03438182705,-21527.15750614142,-96419.67724271356,166.9,
-20003.353433623954,-28583.840255082105,-10241.78683837624,31544.611634900688,-36440.4839079549,-135.69278313672112,-36498.18097584561,-35494.10433734264,-70284.03438182705,-21527.15750614142,-50939.291358132396,163.7,
-20003.353433623954,-28583.840255082105,-10241.78683837624,31544.611634900688,-36440.4839079549,-135.76412174417104,-36498.18097584561,-35494.10433734264,-70284.03438182705,-21527.15750614142,-96419.67724271356,162.9,
-20003.353433623954,-28583.840255082105,-10241.78683837624,31544.611634900688,-36440.4839079549,-135.69278313672112,-36498.18097584561,-35494.10433734264,-70284.03438182705,-21527.15750614142,-96419.67724271356,162.2,
-20003.353433623954,-28583.840255082105,-10241.78683837624,31544.611634900688,-36440.4839079549,-135.69278313672112,-36498.18097584561,-35494.10433734264,-70284.03438182705,-21527.15750614142,-96419.67724271356,158.9,
-20003.353433623954,-28583.840255082105,-10241.78683837624,31544.611634900688,-36440.4839079549,-135.69278313672112,-36498.18097584561,-35494.10433734264,-70284.03438182705,-21527.15750614142,-96419.67724271356,156.5,
